img x1 y1 x2 y2
9 16 49 190 221
10 81 103 112 178
11 125 25 175 77
12 2 131 61 204
16 98 115 150 181
21 53 137 120 223
25 35 27 186 178
26 152 72 224 149
26 79 0 135 43
28 105 99 173 187
28 12 34 53 164
30 92 76 194 198
32 112 148 179 215
32 8 75 45 165
33 46 9 108 61
34 65 129 127 198
35 11 77 156 224
39 11 100 103 198
46 41 105 184 210
49 1 127 68 221
50 54 50 144 120
52 1 84 73 148
53 26 5 102 88
55 2 85 84 183
56 175 65 224 137
59 12 91 93 184
60 50 113 224 196
62 1 80 70 175
63 33 44 178 184
64 16 129 84 206
65 94 100 160 182
67 3 63 77 141
69 16 32 104 93
70 22 104 88 192
73 82 108 143 124
76 0 15 81 63
78 31 72 172 224
79 171 70 224 146
80 12 88 93 186
82 2 30 224 197
84 45 125 103 196
85 96 175 171 224
86 24 20 224 224
88 0 57 73 155
89 2 34 224 224
91 19 111 88 193
92 134 41 224 107
95 37 148 127 217
97 157 53 224 129
99 122 105 203 205
101 10 77 163 224
103 12 120 79 203
105 58 82 209 193
106 64 66 141 188
107 65 4 155 104
108 0 5 132 93
109 7 91 97 210
111 79 1 199 53
114 122 39 198 103
115 68 133 137 221
118 28 101 90 182
119 12 126 79 209
120 3 51 91 162
121 11 44 94 146
122 134 97 224 212
123 113 144 195 207
124 71 126 125 199
127 26 17 202 206
128 41 40 193 206
129 0 131 36 200
131 16 97 87 156
132 28 120 92 214
135 129 136 215 224
136 81 36 121 84
138 121 118 190 216
140 117 103 224 224
141 0 129 65 217
142 0 38 224 192
143 56 107 125 224
144 24 163 143 222
145 134 49 196 118
147 0 22 95 146
148 18 35 211 176
151 155 108 217 190
152 1 70 113 216
153 148 111 212 201
154 130 6 201 100
156 20 108 94 223
157 43 118 116 224
162 90 90 207 192
163 128 63 185 142
166 7 33 224 163
167 79 112 156 206
168 38 23 187 206
170 45 108 116 224
171 23 119 87 194
172 16 72 76 142
173 13 39 127 120
174 19 38 206 175
175 77 0 160 24
178 0 81 82 181
180 62 60 143 116
181 2 82 88 147
182 3 118 82 220
184 112 1 224 191
186 25 45 193 194
187 35 85 108 209
188 0 132 58 204
189 1 109 89 224
190 16 97 93 188
192 3 115 84 219
194 22 117 103 217
196 148 63 224 158
199 149 113 203 184
200 77 49 157 123
202 38 28 107 115
203 96 38 201 198
204 26 61 96 142
205 31 103 93 205
208 31 9 208 193
209 7 72 97 164
212 33 25 171 196
215 8 129 75 206
216 111 84 203 212
219 38 41 173 186
220 0 107 75 216
222 11 27 109 87
223 30 90 92 171
224 119 7 177 113
225 10 34 123 102
226 48 81 165 142
228 7 111 103 212
231 24 101 111 216
238 12 91 76 184
241 8 74 92 160
244 90 131 138 191
247 22 112 85 224
250 123 104 203 204
252 5 115 76 188
253 12 99 93 206
255 103 6 155 89
258 10 51 105 146
260 53 56 170 128
261 13 83 224 211
262 92 0 158 82
264 179 85 224 194
265 20 107 96 197
267 100 129 165 221
269 168 8 205 58
272 78 4 133 62
273 115 42 224 153
275 0 100 122 180
276 35 23 129 107
277 92 135 171 221
277 103 3 168 58
281 141 110 224 208
284 41 31 185 218
286 71 63 156 109
286 128 47 188 111
289 108 20 206 114
290 10 111 115 224
291 10 5 214 205
292 75 91 163 152
293 5 109 84 192
295 3 80 67 161
296 5 91 97 210
298 186 34 224 89
2 46 13 171 193
4 14 123 105 220
6 28 95 101 184
600 0 81 69 159
599 27 109 113 208
597 0 118 76 202
596 98 29 214 110
594 88 0 160 86
592 0 75 75 177
592 102 106 184 191
591 146 80 215 163
588 11 108 89 193
587 0 102 81 197
585 16 92 89 156
585 148 0 200 26
583 0 112 62 208
581 14 95 89 201
580 60 51 191 161
579 0 53 56 134
578 23 57 98 142
576 0 78 85 188
574 109 81 189 211
573 85 131 215 222
571 118 27 224 207
569 83 74 148 209
568 0 105 67 197
568 46 0 139 53
566 12 90 91 201
558 101 16 142 48
557 19 117 132 204
556 104 82 217 185
555 28 26 135 95
555 147 56 223 107
553 25 108 81 193
552 75 110 175 191
551 130 81 223 178
547 4 93 82 179
545 100 23 163 92
543 0 89 93 214
541 0 87 78 186
540 52 98 125 224
539 47 25 178 188
538 0 0 56 62
537 138 29 224 131
534 13 123 89 222
533 16 93 96 191
532 15 7 110 203
531 1 75 87 145
531 160 89 222 199
528 7 98 94 208
525 172 0 224 86
524 21 12 106 123
521 55 48 142 125
520 54 96 160 224
517 40 114 88 180
513 112 33 180 93
510 35 90 116 171
508 2 152 85 224
