img category_id x1 y1 x2 y2
/Users/sagban/food-prep/Dataset/2/100.jpg 2 41.0 34.0 196.0 170.0
/Users/sagban/food-prep/Dataset/4/1001.jpg 4 0.0 0.0 224.0 224.0
/Users/sagban/food-prep/Dataset/1/1003.jpg 1 0.0 15.0 224.0 213.0
/Users/sagban/food-prep/Dataset/1/1004.jpg 1 138.0 113.0 193.0 192.0
/Users/sagban/food-prep/Dataset/1/1006.jpg 1 130.0 80.0 224.0 198.0
/Users/sagban/food-prep/Dataset/3/1006.jpg 3 144.0 15.0 209.0 72.0
/Users/sagban/food-prep/Dataset/1/1008.jpg 1 12.0 106.0 170.0 206.0
/Users/sagban/food-prep/Dataset/1/101.jpg 1 10.0 77.0 163.0 224.0
/Users/sagban/food-prep/Dataset/3/101.jpg 3 8.0 39.0 56.0 89.0
/Users/sagban/food-prep/Dataset/4/101.jpg 4 135.0 12.0 179.0 53.0
/Users/sagban/food-prep/Dataset/4/101.jpg 4 155.0 61.0 207.0 117.0
/Users/sagban/food-prep/Dataset/1/1010.jpg 1 31.0 46.0 98.0 127.0
/Users/sagban/food-prep/Dataset/2/1011.jpg 2 76.0 5.0 213.0 195.0
/Users/sagban/food-prep/Dataset/1/1012.jpg 1 26.0 54.0 112.0 174.0
/Users/sagban/food-prep/Dataset/2/1012.jpg 2 108.0 28.0 190.0 144.0
/Users/sagban/food-prep/Dataset/3/1014.jpg 3 45.0 30.0 179.0 176.0
/Users/sagban/food-prep/Dataset/4/1015.jpg 4 92.0 22.0 222.0 190.0
/Users/sagban/food-prep/Dataset/4/1018.jpg 4 14.0 55.0 193.0 201.0
/Users/sagban/food-prep/Dataset/3/1019.jpg 3 0.0 76.0 202.0 180.0
/Users/sagban/food-prep/Dataset/2/1022.jpg 2 113.0 0.0 224.0 118.0
/Users/sagban/food-prep/Dataset/4/1022.jpg 4 52.0 37.0 145.0 153.0
/Users/sagban/food-prep/Dataset/4/1022.jpg 4 140.0 102.0 224.0 220.0
/Users/sagban/food-prep/Dataset/3/1023.jpg 3 0.0 0.0 224.0 224.0
/Users/sagban/food-prep/Dataset/4/1025.jpg 4 21.0 0.0 224.0 224.0
/Users/sagban/food-prep/Dataset/1/1027.jpg 1 31.0 80.0 101.0 191.0
/Users/sagban/food-prep/Dataset/3/1027.jpg 3 98.0 17.0 134.0 61.0
/Users/sagban/food-prep/Dataset/4/1027.jpg 4 146.0 106.0 200.0 189.0
/Users/sagban/food-prep/Dataset/1/1028.jpg 1 78.0 0.0 215.0 68.0
/Users/sagban/food-prep/Dataset/3/1028.jpg 3 34.0 57.0 176.0 138.0
/Users/sagban/food-prep/Dataset/4/1029.jpg 4 3.0 7.0 213.0 219.0
/Users/sagban/food-prep/Dataset/1/103.jpg 1 12.0 120.0 79.0 203.0
/Users/sagban/food-prep/Dataset/2/1030.jpg 2 0.0 11.0 163.0 210.0
/Users/sagban/food-prep/Dataset/4/1033.jpg 4 0.0 15.0 196.0 214.0
/Users/sagban/food-prep/Dataset/2/1034.jpg 2 0.0 19.0 196.0 181.0
/Users/sagban/food-prep/Dataset/4/1035.jpg 4 22.0 0.0 209.0 218.0
/Users/sagban/food-prep/Dataset/1/1036.jpg 1 67.0 0.0 146.0 74.0
/Users/sagban/food-prep/Dataset/1/1038.jpg 1 39.0 85.0 114.0 179.0
/Users/sagban/food-prep/Dataset/3/104.jpg 3 39.0 72.0 199.0 221.0
/Users/sagban/food-prep/Dataset/1/1040.jpg 1 14.0 76.0 75.0 143.0
/Users/sagban/food-prep/Dataset/4/1040.jpg 4 90.0 121.0 146.0 208.0
/Users/sagban/food-prep/Dataset/1/1041.jpg 1 62.0 9.0 156.0 103.0
/Users/sagban/food-prep/Dataset/3/1041.jpg 3 30.0 117.0 108.0 217.0
/Users/sagban/food-prep/Dataset/1/1042.jpg 1 6.0 125.0 75.0 220.0
/Users/sagban/food-prep/Dataset/3/1042.jpg 3 168.0 120.0 218.0 200.0
/Users/sagban/food-prep/Dataset/1/1043.jpg 1 8.0 24.0 71.0 80.0
/Users/sagban/food-prep/Dataset/2/1044.jpg 2 17.0 5.0 206.0 191.0
/Users/sagban/food-prep/Dataset/1/1046.jpg 1 60.0 14.0 172.0 201.0
/Users/sagban/food-prep/Dataset/1/1048.jpg 1 0.0 96.0 79.0 204.0
/Users/sagban/food-prep/Dataset/3/1050.jpg 3 6.0 37.0 185.0 175.0
/Users/sagban/food-prep/Dataset/1/1052.jpg 1 78.0 105.0 198.0 203.0
/Users/sagban/food-prep/Dataset/3/1052.jpg 3 29.0 42.0 79.0 78.0
/Users/sagban/food-prep/Dataset/4/1052.jpg 4 73.0 19.0 150.0 69.0
/Users/sagban/food-prep/Dataset/4/1052.jpg 4 13.0 87.0 64.0 123.0
/Users/sagban/food-prep/Dataset/4/1052.jpg 4 22.0 125.0 79.0 168.0
/Users/sagban/food-prep/Dataset/4/1052.jpg 4 68.0 71.0 123.0 106.0
/Users/sagban/food-prep/Dataset/4/1056.jpg 4 24.0 60.0 201.0 181.0
/Users/sagban/food-prep/Dataset/1/1057.jpg 1 63.0 94.0 144.0 190.0
/Users/sagban/food-prep/Dataset/3/1057.jpg 3 0.0 119.0 43.0 184.0
/Users/sagban/food-prep/Dataset/1/1058.jpg 1 0.0 79.0 85.0 189.0
/Users/sagban/food-prep/Dataset/1/1059.jpg 1 0.0 0.0 177.0 206.0
/Users/sagban/food-prep/Dataset/1/1060.jpg 1 0.0 0.0 224.0 224.0
/Users/sagban/food-prep/Dataset/1/1061.jpg 1 0.0 6.0 224.0 224.0
/Users/sagban/food-prep/Dataset/1/1063.jpg 1 85.0 102.0 171.0 211.0
/Users/sagban/food-prep/Dataset/3/1064.jpg 3 13.0 58.0 177.0 176.0
/Users/sagban/food-prep/Dataset/1/1066.jpg 1 113.0 131.0 170.0 195.0
/Users/sagban/food-prep/Dataset/4/1066.jpg 4 113.0 65.0 151.0 104.0
/Users/sagban/food-prep/Dataset/1/1067.jpg 1 12.0 95.0 88.0 176.0
/Users/sagban/food-prep/Dataset/3/1068.jpg 3 23.0 26.0 201.0 194.0
/Users/sagban/food-prep/Dataset/3/1069.jpg 3 32.0 71.0 202.0 204.0
/Users/sagban/food-prep/Dataset/2/1071.jpg 2 0.0 0.0 224.0 224.0
/Users/sagban/food-prep/Dataset/1/1072.jpg 1 7.0 61.0 86.0 126.0
/Users/sagban/food-prep/Dataset/1/1073.jpg 1 30.0 25.0 177.0 204.0
/Users/sagban/food-prep/Dataset/2/1074.jpg 2 149.0 0.0 224.0 103.0
/Users/sagban/food-prep/Dataset/4/1074.jpg 4 0.0 20.0 189.0 224.0
/Users/sagban/food-prep/Dataset/1/1075.jpg 1 0.0 71.0 97.0 179.0
/Users/sagban/food-prep/Dataset/1/1075.jpg 1 151.0 46.0 215.0 155.0
